timestamp,ps_per_site,mode,site,avg_ms,stdev_ms,count_2min
1759590762833,2,serial,A,1.55,0.6,40
1759594130046,4,serial,B,0,0,0
1759594130046,4,serial,A,0,0,0
1759594151435,4,serial,A,0,0,0
1759594151435,4,serial,B,0,0,0
1759594310373,4,serial,B,18.3,19.16,7
1759594310373,4,serial,A,17.16,18.17,6
1759594310698,4,serial,B,11.76,7.92,0
1759594310698,4,serial,A,12.31,7.34,0
1759594344081,4,serial,A,4.41,2.84,0
1759594344081,4,serial,B,5.36,4.39,0
1759594852395,4,serial,B,3.54,2.76,0
1759594852395,4,serial,A,3.91,2.3,0
1759594893391,2,serial,A,2.85,1.19,40
1759594893391,2,serial,B,2.62,1.53,40
1759595746474,4,serial,A,6.53,6.06,13
1759595746474,4,serial,B,6.35,7.17,0
1759595855673,2,serial,B,2.67,1.61,40
1759595855673,2,serial,A,2.7,1.18,40
1759595923489,4,serial,A,3.83,2.52,0
1759595923489,4,serial,B,3.94,2.78,0
1759596332377,4,serial,B,10.24,12.85,3
1759596332377,4,serial,A,9.79,12.05,12
1759596483072,2,serial,B,2.5,0.71,2
1759596483072,2,serial,A,2.5,0.71,2
